24-12-20 16-04-02 mCherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-12-20 16-04-02 mCherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,
D02,14838,14627,14526,14456,14229,14491,14317,14351,14372,14374,14310,14202,14546,14375,14386,14467,14461,14271,14335,14203,14492,14535,14320,14373,14330,14481,14552,14464,14493,14439,14427,14533,14714,14630,14719,14866,14887,14862,14894,15060,14930,14809,14973,15298,15260,15271,15372,15234,15352,15256,15535,15522,15254,15553,15291,15173,15302,15606,15365,15377,15381,15361,15364,15537,15427,15215,15214,15296,15582,15554,15539,15371,15123,15344,15293,15453,15639,15391,15062,15347,15612,15508,15235,15561,15397,15281,15281,15290,15317,15536,15222,15375,15248,15480,15257,15531,15367,15258,15378,15354,15009,15472,15331,15311,15727,15404,15479,15572,15282,15415,15178,15227,15448,15319,15348,15278,15635,15291,15367,15411,15299,15443,15351,15313,15325,15228,15364,15298,15252,15416,
D03,14930,14524,14538,14489,14287,14174,14349,14382,14455,14164,14413,14217,14667,14553,14456,14937,14838,15055,15211,15255,15478,15495,15877,15870,16451,16359,16909,16675,17045,17535,17596,17980,18017,18355,18503,19195,19401,19991,20310,20669,20857,21176,21859,22093,22523,23656,24993,26458,27282,28363,28416,26461,24719,25414,25382,25764,26197,26161,26080,26277,26156,26565,26394,26720,26258,26653,26671,26777,26896,26826,26723,26553,26810,26476,26621,26397,26806,26848,26633,26876,26739,26611,26558,26588,26604,26630,26860,27025,26878,27006,27144,26553,26684,26809,26873,26645,27168,27056,27143,27005,27157,27053,27096,27243,26980,27036,26938,26987,27178,27062,26803,27400,26951,27170,27151,26962,26802,27292,27073,26990,26916,26762,26805,27251,26964,27588,26916,27447,26731,27537,
D04,14970,14597,14395,14500,14099,14592,14620,14165,14160,14345,14326,14312,14363,14161,14066,14264,14183,14455,14421,14496,14399,14387,14676,14354,14477,14380,14833,14863,14721,15054,14928,15164,15204,14880,15051,15049,14877,15124,15039,15112,15210,15055,15089,15163,15221,15202,15415,15051,15188,15010,14858,15071,14963,15049,15179,15184,15202,15419,15605,15149,15065,15226,15229,14834,15321,15141,14987,15212,15428,15040,15033,15224,15249,15086,15227,15439,15260,15244,15339,15170,15204,15396,14954,15280,15091,15102,15115,14962,15175,15561,15034,15289,15239,15353,15134,15281,15092,14981,15403,15395,15180,15164,15377,15038,15209,15281,15341,15225,15184,15467,15097,15440,15269,15197,15151,15296,15199,15105,15048,15406,15241,14991,15171,15307,15195,15043,15087,15321,15117,14892,
D05,15199,14804,14715,14612,14570,14364,14393,14180,14454,14312,14387,14354,14532,14776,14843,14818,14718,14837,14961,14868,15319,15324,15251,15914,16008,16190,16442,17229,17362,18345,19152,20158,20860,22358,23863,25150,26235,25107,23025,23100,23188,23521,23795,23971,24199,24048,24630,24723,24626,24798,25365,25094,24998,24970,25190,24899,25051,25247,25534,25281,25284,25226,25320,25413,25524,25578,25795,25444,25417,25538,25472,25474,25604,25193,25633,25317,25378,25070,25561,25599,25537,25421,25643,25628,25147,24999,25464,25673,25741,25908,26069,25750,25363,25727,25816,25189,25719,25318,25568,25340,25545,25637,25724,25674,25785,25877,25820,25711,26101,26340,25845,26141,25887,25826,25926,25659,25531,25926,25468,25955,25507,25642,25580,25658,25607,25914,25759,26271,25745,25678,
D06,15811,15077,15096,14634,14998,14901,14754,14783,15020,14844,14687,14816,14858,15005,15042,15069,14852,14557,14948,15008,14914,14923,14669,14928,14666,14975,14781,14696,14689,15100,14917,14923,14683,14601,14560,14705,14705,14846,14704,14760,14741,14451,14697,14649,14517,14702,14642,14464,14633,14737,14638,14498,14680,14734,14673,14704,14619,14761,14601,14761,14462,14430,14573,14457,14578,14439,14654,14655,14552,14560,14673,14402,14499,14457,14696,14701,14781,14583,14456,14662,14582,14450,14446,14781,14270,14614,14482,14586,14166,14404,14435,14833,14472,14439,14418,14415,14545,14455,14417,14640,14536,14680,14449,14356,14461,14474,14554,14567,14490,14417,14397,14482,14546,14495,14509,14557,14502,14336,14249,14276,14548,14640,14343,14210,14537,14420,14553,14390,14312,14554,
D07,15613,15083,14803,14856,14760,14971,14493,14722,14566,14627,14502,14434,14591,14637,14653,14425,14587,14563,14569,14268,14553,14634,14497,14495,14725,14653,14538,14525,14430,14481,14712,14471,14466,14511,14491,14435,14482,14469,14539,14373,14519,14488,14619,14276,14459,14734,14442,14409,14480,14645,14332,14568,14486,14107,14629,14550,14325,14133,14433,14171,14373,14256,14337,14489,14270,14438,14100,14390,14238,14271,14537,14355,14277,14045,14093,14561,14474,14451,14341,14425,14400,14322,14355,14191,14440,14391,14214,14353,13939,14279,14413,14377,14309,14333,14461,14250,14189,14435,14187,14163,14446,14372,14267,14163,14241,14333,14087,14324,14189,14313,14239,14208,14066,14456,14201,14359,14155,14162,14481,14145,14132,14268,14240,13957,14180,14370,14233,14323,14152,14185,
D08,15559,14853,14589,14486,14677,14935,14685,14596,14564,14767,14516,14447,14519,14906,14851,14532,14802,14715,14510,14469,14791,14488,14687,14854,14956,14886,14968,14818,14792,14863,14775,15145,14985,15084,15095,15099,15302,15265,15125,15241,15277,15487,15036,15304,15273,15704,15439,15523,15489,15276,15368,15553,15459,15621,15669,15610,15368,15494,15695,15740,15432,15676,15496,15685,15375,15740,15582,15549,15513,15520,15490,15417,15437,15577,15833,15569,15150,15457,15421,15468,15295,15587,15319,15444,15539,15292,15456,15382,15399,15878,15449,15443,15355,15410,15626,15501,15551,15352,15427,15268,15533,15386,15580,15290,15561,15458,15480,15288,15556,15538,15705,15663,15491,15321,15583,15321,15303,15264,15227,15736,15611,15478,15751,15353,15691,15471,15513,15411,15364,15600,
D09,15013,14619,14531,14766,14500,14385,14390,14476,14222,14266,14441,14473,14469,14594,14441,14443,14436,14552,14785,14347,14868,14470,14554,14497,14885,14291,14732,15095,14853,15022,14798,15183,14911,15155,15287,15191,15151,15169,15362,15066,15269,15327,15476,15341,15307,15498,15496,15681,15801,15834,15712,15403,15571,15576,15646,15856,15580,15364,15453,15569,15749,15700,15630,15625,15625,15738,15553,15600,15548,15853,15468,15633,15836,15412,15294,15596,15652,15825,15375,15481,15201,15434,15550,15688,15460,15511,15627,15702,15572,15643,15516,15804,15436,15590,15534,15560,15516,15617,15593,15645,15634,15615,15724,15758,15730,15670,15516,15690,15760,15722,15501,15539,15737,15651,15636,15610,15628,15741,15226,15407,15485,15464,15681,15580,15408,15940,15664,15775,15810,15691,
D10,15194,14553,14628,14423,14464,14001,14230,14384,14209,14342,14458,14124,14015,14076,14231,14268,14512,14493,14530,14413,14479,14546,14451,14719,14664,14742,14973,14934,14751,15084,15022,15042,15326,14910,15371,15114,15291,15320,15187,15130,15275,15038,15386,15267,15279,14980,15183,15390,15165,15367,15335,15341,15133,15504,15426,15196,15383,15178,15275,15473,15363,15281,15110,15355,15132,15502,15369,15273,15315,15209,14943,15325,15016,15674,15313,15299,15304,15630,14966,15080,15530,15299,15256,15364,15318,15377,15591,15516,15233,15277,15752,15180,15133,15421,15348,15422,15385,15398,15496,15162,15076,15283,15293,15350,15283,15437,15383,15183,15253,15282,15249,15151,15312,15120,15414,15325,15448,15149,15283,15422,15060,15360,15337,15282,15320,15412,15504,15379,15474,15619,
D11,14908,14479,14559,14356,14273,14144,14120,14284,14073,14133,14120,14586,14275,14266,14227,14424,14110,14601,14275,14595,14780,14425,14674,14479,14562,14734,14789,14558,14833,14798,14981,15048,15069,15365,15089,15173,15260,15217,15048,15280,14952,15134,15162,15075,15107,15431,15469,15178,15166,15205,15202,15389,15318,15205,15176,15336,15315,15189,15479,15019,15218,15392,15307,15141,15128,15245,15348,15263,15058,15190,15253,15084,15167,14883,15178,15317,15122,15180,15166,15195,15375,15000,15346,15261,15228,14984,15286,15037,15237,15156,15158,15122,15374,15395,15262,15444,15321,15151,15343,15228,15178,15189,15111,15194,15207,15348,15093,15317,15145,15304,15188,15211,15359,15123,15011,15306,15047,15009,15515,15178,15228,15158,15098,15276,15237,15309,15137,15172,15299,15045,
