Time,B02,B03,B04,B05,B08,B09,B10,B11,C02,C03,C04,C05,C08,C09,C10,C11,D02,D03,D04,D05,D08,D09,D10,D11,E02,E03,E04,E05,E08,E09,E10,E11,F02,F03,F04,F05,F08,F09,F10,F11,G02,G03,G04,G05,G08,G09,G10,G11
300,14857,22249,14449,19642,15264,15340,15110,14864,15141,22169,14982,18503,15500,15187,14851,14860,14427,17596,14928,19152,14775,14798,15022,14981,14503,17566,14968,19290,14727,15103,15027,14938,14601,18818,14928,19059,14950,15186,14808,14659,14558,18448,14908,19062,14535,14851,14823,14824
310,14942,23616,14506,20438,15425,15558,14966,15126,15132,23674,14773,19366,15373,15509,14887,15073,14533,17980,15164,20158,15145,15183,15042,15048,14300,17893,15207,20149,14941,15015,14905,15091,14437,19483,14647,20365,14985,14879,14925,14643,14649,19281,14876,19935,14858,15083,14751,14694
320,15053,25032,14746,21624,15117,15386,14960,15277,15312,25077,14801,20385,15443,15273,14962,15192,14714,18017,15204,20860,14985,14911,15326,15069,14606,18042,14975,21046,14959,14771,15047,15287,14795,21020,14851,21604,15017,14992,15188,14936,14679,19783,14955,20857,14897,14944,14746,15031
330,14964,26436,14943,22519,15242,15735,14866,15395,15359,26592,14888,21560,15815,15341,15169,15166,14630,18355,14880,22358,15084,15155,14910,15365,14322,18713,15187,22344,14975,15113,15255,15296,14767,22098,14889,22458,14988,15232,14962,14789,14798,21320,15201,22137,14964,15009,14901,15005
340,14972,24746,15189,24303,15414,15633,15169,15121,15413,24610,14941,22904,15502,15477,15123,15268,14719,18503,15051,23863,15095,15287,15371,15089,14762,18991,15133,23438,14783,15218,15451,15147,14948,23417,14900,23878,14940,14886,15442,14994,14746,22630,15179,23438,14938,15061,14881,15194
350,15094,22301,14855,25384,15188,15334,15199,15192,15219,22493,14980,23703,15509,15541,15539,15204,14866,19195,15049,25150,15099,15191,15114,15173,14743,19240,15156,24574,14951,15136,15414,15092,15047,24917,14762,25528,15065,15198,15215,15114,14713,23811,15058,24967,14751,15072,14836,14843
360,15027,22712,15199,26368,15309,15444,15201,14951,15191,22596,15219,25221,15598,15363,14981,14834,14887,19401,14877,26235,15302,15151,15291,15260,14619,19552,15137,26175,14996,15432,15295,15153,15143,26337,15122,26416,15307,15173,15150,15033,14763,25291,15104,25961,15129,15087,14761,15167
370,15133,22939,14964,24791,15332,15559,15279,14975,15198,22577,15152,26234,15661,15493,15356,15213,14862,19991,15124,25107,15265,15169,15320,15217,14820,20014,14999,24512,15157,15187,15084,15236,15170,24214,15150,24711,15345,14999,14981,14872,14689,26543,14744,24624,14997,15147,14838,15046
380,14980,23265,15089,22801,15331,15407,14974,15218,15522,23347,15471,23775,15354,15530,15156,14928,14894,20310,15039,23025,15125,15362,15187,15048,14923,20619,15362,22580,15053,15336,15368,15221,15088,21769,15073,22495,15050,14864,15044,14921,14679,23934,15065,22390,15218,15023,14754,15016
390,15151,23552,15183,22813,15076,15410,15237,15190,15405,23371,14915,22602,15543,15301,15382,15337,15060,20669,15112,23100,15241,15066,15130,15280,14917,20532,15098,22877,14919,15304,15044,15031,15024,22327,14910,22812,14867,14812,14973,14869,14769,22318,15040,22751,15140,14757,14865,15011
400,15036,23613,15257,23311,15576,15159,15038,15080,15469,23737,15146,22779,15721,15015,15170,15046,14930,20857,15210,23188,15277,15269,15275,14952,14808,20593,14805,22798,15073,15244,15188,15202,15037,22875,15152,23576,15091,14721,15129,14968,14784,22654,15017,23024,15107,15153,14995,14988
410,15073,23424,15275,23476,15332,15351,15210,15362,15175,23760,15223,23455,15360,15234,15052,15076,14809,21176,15055,23521,15487,15327,15038,15134,14937,21010,15204,23065,15368,15311,15111,15106,14879,23263,14913,23577,15133,15137,15017,15001,15085,23053,14875,23223,15199,14932,14919,14990
420,15042,23996,15096,23435,15382,15273,15042,14850,15502,23725,15071,23247,15724,15571,15532,15318,14973,21859,15089,23795,15036,15476,15386,15162,14950,21628,15034,23413,15289,15347,15218,15313,14933,23310,15013,23798,15175,15395,15175,14615,14995,23340,14946,23754,15180,14900,15034,14948
430,15077,24121,15107,23725,15390,15521,15433,15071,15359,23897,15032,23619,15618,15564,15093,15248,15298,22093,15163,23971,15304,15341,15267,15075,15054,21966,15166,23651,15118,15570,15315,15185,14908,23531,15181,23974,15327,14939,15425,14792,14964,23615,15029,23815,15102,15022,15069,15084
440,15122,24291,15382,23754,15473,15819,15121,15246,15282,24341,15163,23682,15654,15292,15176,15120,15260,22523,15221,24199,15273,15307,15279,15107,14890,23403,15175,23558,15194,15465,15301,15116,15014,23343,15125,23999,15290,14999,15100,15257,14742,23564,15026,23629,15165,15302,14663,15050
450,15139,24201,15208,24007,15438,15529,15148,15232,15044,24388,15392,24132,15442,15700,15435,15224,15271,23656,15202,24048,15704,15498,14980,15431,14913,24309,14984,23997,15394,15913,15587,15501,15053,24025,15055,24490,15399,15112,15262,15064,14656,23919,15013,24190,15107,15240,14933,14830
460,15286,24339,15146,24448,15539,15449,15226,15299,15325,24377,15202,24211,15659,15360,15215,15516,15372,24993,15415,24630,15439,15496,15183,15469,15123,26478,15130,23963,15370,15679,15195,15260,15252,23944,14984,24319,15306,15085,15004,14891,14983,24051,15042,24371,15246,15199,14905,15052
470,15004,24680,15246,24619,15409,15405,15406,14986,15457,24292,15012,24446,15631,15445,15334,15173,15234,26458,15051,24723,15523,15681,15390,15178,15178,27313,15221,24094,15189,15660,15232,15200,14823,23845,14916,24539,15359,15027,14918,15125,14928,24326,14907,24338,15038,15111,15204,15064
480,15171,24557,15118,24463,15578,15298,15417,15417,15506,24451,15157,24438,15528,15337,15415,15104,15352,27282,15188,24626,15489,15801,15165,15166,15311,28426,15083,24291,15315,15645,15134,15275,14993,24098,14871,24985,15204,14903,15101,14841,14814,24360,15189,24343,15131,14936,14906,14902
490,15106,24729,15135,24774,15357,15352,15363,15198,15563,24980,15110,24547,15466,15296,15344,15035,15256,28363,15010,24798,15276,15834,15367,15205,15208,27297,15189,24316,15419,15364,15365,15470,15169,24233,15091,24502,15415,15057,15057,14903,14770,24508,14937,24349,14966,15301,14883,14942
500,15197,24388,15439,24810,15474,15511,15243,15290,15251,24604,15174,24881,15626,15271,15095,15363,15535,28416,14858,25365,15368,15712,15335,15202,15150,24339,15122,24607,15316,15458,15461,15289,15066,24448,14942,25088,15513,15269,15092,14765,14903,24780,15278,24702,15090,15131,14831,15118
510,15348,24573,15232,24968,15611,15342,15124,15122,15347,24667,15285,24661,15559,15458,15489,15288,15522,26461,15071,25094,15553,15403,15341,15389,14988,24151,15108,24518,15257,15770,15303,15152,15025,24522,14838,25073,15374,15093,15202,14926,14877,24440,15215,24918,15116,15024,15081,15164
520,15193,24909,15333,25111,15380,15289,15085,15160,15308,24594,15127,24742,15876,15677,15216,15095,15254,24719,14963,24998,15459,15571,15133,15318,15090,24684,15021,24541,15241,15570,15237,15248,15026,24531,14848,24926,15236,15040,15206,14654,15078,24626,14976,25072,15065,15145,15101,14906
530,15287,24320,15596,25062,15239,15433,15311,15135,15479,24636,15176,25081,15446,15497,15241,15250,15553,25414,15049,24970,15621,15576,15504,15205,15097,24720,15034,24651,15406,15596,15217,15300,15214,24493,15061,24796,15249,15267,15380,15198,14864,24795,15104,24854,15104,15006,15407,15018
540,15263,24609,15568,24964,15534,15429,15000,15207,15273,24872,15373,24962,15568,15709,15068,15288,15291,25382,15179,25190,15669,15646,15426,15176,15098,24834,15081,24570,15276,15345,15251,15287,15417,24365,15138,24973,15272,15089,15147,15180,15069,24725,15042,24771,15208,15187,14909,15064
550,14889,24690,15207,25146,15401,15559,15119,15041,15472,24660,15100,24973,15429,15412,15196,15235,15173,25764,15184,24899,15610,15856,15196,15336,15163,25096,14988,24766,15186,15769,15396,15210,14993,24544,15344,25070,15244,15182,15462,14829,14930,24631,15153,24816,15259,15070,15013,15237
560,15170,24434,15118,25133,15577,15459,15155,14868,15448,24852,15356,25103,15523,15518,15561,15347,15302,26197,15202,25051,15368,15580,15383,15315,15052,25030,15093,24555,15168,15576,15197,15090,14979,24505,15250,25176,15141,14990,14959,14826,14996,24915,14909,24899,15085,15103,15052,15036
570,15270,24237,15254,24692,15650,15668,15137,15268,15489,24730,15347,24919,15410,15423,15140,15356,15606,26161,15419,25247,15494,15364,15178,15189,15063,25207,15119,24722,15502,15645,15357,15454,15231,24314,15028,25098,15103,14987,15212,15168,14922,24925,15060,25028,15213,14932,15065,15037
580,15123,24878,15054,24926,15325,15637,15294,14986,15318,24709,15428,25237,15496,15527,15473,15179,15365,26080,15605,25534,15695,15453,15275,15479,15136,25156,15229,24868,15368,15678,15105,15181,15149,24587,14922,25174,15146,14923,14963,15025,14921,25092,15252,25012,15215,15070,14950,15224
590,15506,24492,15266,25484,15433,15707,15542,15047,15332,24377,15299,24839,15812,15180,15455,15283,15377,26277,15149,25281,15740,15569,15473,15019,14974,25334,15146,24898,15397,15514,15321,15313,15164,24429,15085,25440,15194,15111,15190,14915,14823,24848,15001,24929,15248,15211,14911,15246
600,15092,24827,15526,25094,15617,15629,15193,14976,15473,24755,15460,25126,15748,15649,15055,15286,15381,26156,15065,25284,15432,15749,15363,15218,14939,25069,15175,24817,15220,15493,15225,15278,14896,24515,15014,25083,15214,15047,15222,14851,14812,24969,15133,24993,15460,14891,14763,14903
610,15113,24844,15295,25200,15524,15520,15546,15059,15269,24612,15022,25126,15663,15432,15406,15265,15361,26565,15226,25226,15676,15700,15281,15392,15301,25727,15082,24732,15211,15635,15357,15104,15352,24219,15035,24894,15257,15044,15451,15103,14962,25078,15400,25140,15030,15108,15257,14890
620,15048,24709,15367,25200,15566,15655,15245,15292,15172,24283,15171,24913,15662,15075,15239,15192,15364,26394,15229,25320,15496,15630,15110,15307,14888,25532,15082,24602,15252,15512,15288,15343,15039,24447,15033,25024,15161,15265,15376,14742,15077,24944,15239,24951,15102,15047,14896,14971
630,15124,24604,15292,24877,15422,15580,15182,15123,15322,24477,15276,25179,15286,15414,15070,15334,15537,26720,14834,25413,15685,15625,15355,15141,15071,25413,15024,24783,15471,15601,15090,15208,15056,24401,15026,25424,15291,14924,15112,15199,14871,24885,15115,25124,15099,15043,15101,15171
